,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:37.0,B. Adebayo misses 2-pt layup from 4 ft,,0,0
1,1,11:35.0,,Defensive rebound by T. Prince,0,0
2,1,11:24.0,,R. Kurucs makes 3-pt jump shot from 22 ft (assist by J. Harris),0,3
3,1,11:12.0,M. Leonard misses 3-pt jump shot from 25 ft,,0,3
4,1,11:09.0,,Defensive rebound by J. Allen,0,3
5,1,11:03.0,,R. Kurucs makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),0,6
6,1,10:48.0,K. Nunn misses 2-pt layup from 4 ft,,0,6
7,1,10:47.0,,Defensive rebound by S. Dinwiddie,0,6
8,1,10:38.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),0,9
9,1,10:28.0,Personal foul by R. Kurucs (drawn by J. Butler),,0,9
10,1,10:20.0,K. Nunn makes 2-pt jump shot from 18 ft (assist by J. Butler),,2,9
11,1,9:55.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft,2,12
12,1,9:32.0,J. Butler makes 2-pt jump shot from 7 ft,,4,12
13,1,9:32.0,Shooting foul by S. Dinwiddie (drawn by J. Butler),,4,12
14,1,9:32.0,J. Butler makes free throw 1 of 1,,5,12
15,1,9:20.0,,R. Kurucs makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),5,15
16,1,9:05.0,J. Butler makes 2-pt jump shot from 13 ft,,7,15
17,1,8:54.0,,R. Kurucs misses 2-pt dunk from 2 ft,7,15
18,1,8:52.0,Defensive rebound by B. Adebayo,,7,15
19,1,8:44.0,D. Robinson misses 3-pt jump shot from 25 ft,,7,15
20,1,8:41.0,,Defensive rebound by J. Allen,7,15
21,1,8:31.0,,T. Prince makes 2-pt layup from 3 ft,7,17
22,1,8:31.0,Miami full timeout,,7,17
23,1,8:21.0,Shooting foul by J. Harris (drawn by J. Butler),,7,17
24,1,8:21.0,J. Butler makes free throw 1 of 2,,8,17
25,1,8:21.0,J. Butler makes free throw 2 of 2,,9,17
26,1,8:09.0,,J. Harris misses 3-pt jump shot from 27 ft,9,17
27,1,8:05.0,Defensive rebound by J. Butler,,9,17
28,1,7:58.0,J. Butler makes 2-pt dunk from 1 ft,,11,17
29,1,7:42.0,,S. Dinwiddie misses 2-pt layup from 5 ft,11,17
30,1,7:40.0,Defensive rebound by M. Leonard,,11,17
31,1,7:24.0,B. Adebayo makes 2-pt dunk at rim,,13,17
32,1,7:11.0,,T. Prince misses 3-pt jump shot from 27 ft,13,17
33,1,7:08.0,Defensive rebound by K. Nunn,,13,17
34,1,7:06.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Nunn),,15,17
35,1,7:06.0,,Brooklyn full timeout,15,17
36,1,7:06.0,,T. Luwawu-Cabarrot enters the game for R. Kurucs,15,17
37,1,6:47.0,,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),15,19
38,1,6:37.0,B. Adebayo makes 2-pt layup from 7 ft,,17,19
39,1,6:29.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by S. Dinwiddie),17,21
40,1,6:19.0,K. Nunn misses 3-pt jump shot from 26 ft,,17,21
41,1,6:15.0,,Defensive rebound by J. Allen,17,21
42,1,6:04.0,,J. Allen misses 2-pt hook shot from 3 ft,17,21
43,1,6:02.0,,Offensive rebound by J. Allen,17,21
44,1,5:58.0,,S. Dinwiddie misses 2-pt layup from 2 ft,17,21
45,1,5:54.0,,Offensive rebound by J. Allen,17,21
46,1,5:54.0,,J. Allen makes 2-pt dunk from 1 ft,17,23
47,1,5:48.0,Shooting foul by J. Allen (drawn by J. Butler),,17,23
48,1,5:48.0,J. Butler makes free throw 1 of 2,,18,23
49,1,5:48.0,D. Jones enters the game for M. Leonard,,18,23
50,1,5:48.0,,D. Jordan enters the game for J. Allen,18,23
51,1,5:48.0,J. Butler makes free throw 2 of 2,,19,23
52,1,5:33.0,,Turnover by S. Dinwiddie (bad pass; steal by D. Jones),19,23
53,1,5:28.0,K. Nunn makes 2-pt layup from 1 ft (assist by D. Jones),,21,23
54,1,5:16.0,,T. Prince misses 3-pt jump shot from 23 ft,21,23
55,1,5:12.0,Defensive rebound by J. Butler,,21,23
56,1,5:08.0,J. Butler misses 3-pt jump shot from 28 ft,,21,23
57,1,5:05.0,,Defensive rebound by D. Jordan,21,23
58,1,4:52.0,,Turnover by J. Harris (lost ball; steal by K. Nunn),21,23
59,1,4:47.0,K. Nunn makes 2-pt layup from 2 ft,,23,23
60,1,4:26.0,,T. Prince makes 2-pt dunk from 1 ft (assist by J. Harris),23,25
61,1,4:12.0,Turnover by B. Adebayo (bad pass; steal by S. Dinwiddie),,23,25
62,1,4:09.0,,Personal foul by D. Robinson (drawn by T. Luwawu-Cabarrot),23,25
63,1,4:09.0,G. Dragić enters the game for D. Robinson,,23,25
64,1,4:09.0,,C. LeVert enters the game for J. Harris,23,25
65,1,3:57.0,,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by T. Prince),23,27
66,1,3:46.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by G. Dragić),,25,27
67,1,3:28.0,,S. Dinwiddie misses 2-pt jump shot from 10 ft,25,27
68,1,3:26.0,Defensive rebound by B. Adebayo,,25,27
69,1,3:22.0,D. Jones misses 2-pt layup from 3 ft,,25,27
70,1,3:22.0,Offensive rebound by B. Adebayo,,25,27
71,1,3:21.0,B. Adebayo makes 2-pt layup at rim,,27,27
72,1,3:07.0,,Turnover by T. Prince (lost ball; steal by B. Adebayo),27,27
73,1,3:07.0,Personal take foul by D. Jordan (drawn by B. Adebayo),,27,27
74,1,3:07.0,B. Adebayo makes free throw 1 of 2,,28,27
75,1,3:07.0,T. Herro enters the game for K. Nunn,,28,27
76,1,3:07.0,,J. Anderson enters the game for S. Dinwiddie,28,27
77,1,3:07.0,,D. Musa enters the game for T. Prince,28,27
78,1,3:07.0,B. Adebayo makes free throw 2 of 2,,29,27
79,1,3:07.0,M. Leonard enters the game for B. Adebayo,,29,27
80,1,2:53.0,,C. LeVert misses 2-pt jump shot from 13 ft (block by D. Jones),29,27
81,1,2:49.0,,Offensive rebound by D. Musa,29,27
82,1,2:48.0,,D. Musa misses 2-pt layup from 2 ft (block by J. Butler),29,27
83,1,2:45.0,Defensive rebound by J. Butler,,29,27
84,1,2:41.0,G. Dragić makes 2-pt jump shot from 14 ft (assist by M. Leonard),,31,27
85,1,2:32.0,,Personal foul by M. Leonard (drawn by D. Jordan),31,27
86,1,2:32.0,J. Johnson enters the game for J. Butler,,31,27
87,1,2:23.0,,D. Musa makes 3-pt jump shot from 27 ft (assist by C. LeVert),31,30
88,1,2:12.0,G. Dragić misses 3-pt jump shot from 26 ft,,31,30
89,1,2:12.0,,Defensive rebound by D. Jordan,31,30
90,1,2:04.0,,Turnover by C. LeVert (lost ball; steal by D. Jones),31,30
91,1,2:04.0,Personal foul by D. Musa (drawn by G. Dragić),,31,30
92,1,2:04.0,G. Dragić makes free throw 1 of 2,,32,30
93,1,2:04.0,G. Dragić misses free throw 2 of 2,,32,30
94,1,2:02.0,,Defensive rebound by D. Jordan,32,30
95,1,1:47.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 27 ft,32,30
96,1,1:44.0,Defensive rebound by G. Dragić,,32,30
97,1,1:36.0,M. Leonard makes 2-pt dunk from 2 ft (assist by G. Dragić),,34,30
98,1,1:24.0,,Personal foul by D. Jones (drawn by C. LeVert),34,30
99,1,1:17.0,,C. LeVert misses 2-pt layup from 4 ft,34,30
100,1,1:16.0,Defensive rebound by M. Leonard,,34,30
101,1,1:07.0,G. Dragić makes 3-pt jump shot from 27 ft (assist by T. Herro),,37,30
102,1,0:55.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by D. Musa),37,32
103,1,0:50.0,T. Herro makes 3-pt jump shot from 25 ft,,40,32
104,1,0:34.0,,C. LeVert misses 3-pt jump shot from 27 ft,40,32
105,1,0:30.0,Defensive rebound by M. Leonard,,40,32
106,1,0:15.0,Personal foul by T. Luwawu-Cabarrot (drawn by G. Dragić),,40,32
107,1,0:15.0,G. Dragić makes free throw 1 of 2,,41,32
108,1,0:15.0,G. Dragić makes free throw 2 of 2,,42,32
109,2,11:32.0,,Turnover by Team (shot clock),42,32
110,2,11:16.0,Offensive foul by J. Johnson (drawn by C. LeVert),,42,32
111,2,11:16.0,Turnover by J. Johnson (offensive foul),,42,32
112,2,11:04.0,,D. Musa makes 3-pt jump shot from 25 ft (assist by C. LeVert),42,35
113,2,11:03.0,,Violation by Team (delay of game),42,35
114,2,10:47.0,J. Johnson misses 2-pt layup from 4 ft,,42,35
115,2,10:44.0,,Defensive rebound by J. Harris,42,35
116,2,10:38.0,,Turnover by J. Harris (lost ball; steal by T. Herro),42,35
117,2,10:33.0,T. Herro makes 2-pt layup from 1 ft (assist by D. Jones),,44,35
118,2,10:25.0,,J. Harris misses 3-pt jump shot from 25 ft,44,35
119,2,10:23.0,Defensive rebound by J. Johnson,,44,35
120,2,10:16.0,T. Herro misses 3-pt jump shot from 26 ft,,44,35
121,2,10:14.0,,Defensive rebound by D. Musa,44,35
