,QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW YORK_ACTION,BOSTON_SCORE,NEW YORK_SCORE
0,1,11:44.0,,D. Dotson makes 2-pt layup from 1 ft (assist by K. Allen),0,2
1,1,11:24.0,K. Irving misses 2-pt jump shot from 21 ft,,0,2
2,1,11:23.0,,Defensive rebound by K. Allen,0,2
3,1,11:11.0,,N. Vonleh makes 2-pt layup from 1 ft (assist by K. Allen),0,4
4,1,11:11.0,,Shooting foul by J. Tatum (drawn by N. Vonleh),0,4
5,1,11:11.0,,N. Vonleh makes free throw 1 of 1,0,5
6,1,10:56.0,J. Tatum misses 2-pt jump shot from 17 ft,,0,5
7,1,10:54.0,,Defensive rebound by Team,0,5
8,1,10:38.0,,Turnover by K. Knox (lost ball; steal by K. Irving),0,5
9,1,10:38.0,Personal foul by K. Knox (drawn by K. Irving),,0,5
10,1,10:24.0,M. Morris makes 2-pt layup from 2 ft (assist by A. Horford),,2,5
11,1,10:05.0,,Turnover by L. Kornet (out of bounds lost ball),2,5
12,1,9:56.0,K. Irving makes 2-pt layup at rim,,4,5
13,1,9:56.0,,Violation by Team (def goaltending),4,5
14,1,9:38.0,,L. Kornet makes 2-pt jump shot from 14 ft (assist by N. Vonleh),4,7
15,1,9:28.0,A. Horford misses 2-pt layup from 1 ft,,4,7
16,1,9:26.0,Offensive rebound by A. Horford,,4,7
17,1,9:26.0,A. Horford misses 2-pt layup from 1 ft,,4,7
18,1,9:24.0,,Defensive rebound by K. Allen,4,7
19,1,9:18.0,,K. Allen misses 2-pt layup from 3 ft,4,7
20,1,9:16.0,Defensive rebound by K. Irving,,4,7
21,1,9:12.0,M. Morris misses 3-pt jump shot from 25 ft,,4,7
22,1,9:10.0,,Defensive rebound by N. Vonleh,4,7
23,1,8:59.0,,K. Knox makes 3-pt jump shot from 27 ft (assist by K. Allen),4,10
24,1,8:47.0,K. Irving misses 3-pt jump shot from 25 ft,,4,10
25,1,8:46.0,,Defensive rebound by L. Kornet,4,10
26,1,8:38.0,,Personal foul by K. Irving (drawn by N. Vonleh),4,10
27,1,8:33.0,,L. Kornet makes 3-pt jump shot from 26 ft (assist by N. Vonleh),4,13
28,1,8:15.0,A. Horford makes 2-pt jump shot from 21 ft,,6,13
29,1,7:51.0,,K. Knox misses 2-pt layup from 2 ft (block by A. Horford),6,13
30,1,7:49.0,Defensive rebound by J. Tatum,,6,13
31,1,7:39.0,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),,8,13
32,1,7:24.0,,Turnover by N. Vonleh (bad pass; steal by M. Morris),8,13
33,1,7:14.0,J. Tatum makes 2-pt jump shot from 16 ft (assist by K. Irving),,10,13
34,1,7:12.0,,New York full timeout,10,13
35,1,7:12.0,,M. Robinson enters the game for L. Kornet,10,13
36,1,7:02.0,,Turnover by D. Dotson (bad pass; steal by M. Smart),10,13
37,1,6:58.0,J. Tatum misses 3-pt jump shot from 24 ft,,10,13
38,1,6:56.0,Offensive rebound by K. Irving,,10,13
39,1,6:53.0,K. Irving makes 2-pt jump shot from 16 ft,,12,13
40,1,6:33.0,,Shooting foul by M. Smart (drawn by N. Vonleh),12,13
41,1,6:33.0,,N. Vonleh makes free throw 1 of 2,12,14
42,1,6:33.0,,N. Vonleh makes free throw 2 of 2,12,15
43,1,6:23.0,K. Irving misses 2-pt layup from 2 ft,,12,15
44,1,6:21.0,Offensive rebound by K. Irving,,12,15
45,1,6:18.0,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Irving),,15,15
46,1,6:04.0,,K. Allen misses 2-pt jump shot from 14 ft,15,15
47,1,6:02.0,Defensive rebound by M. Morris,,15,15
48,1,5:57.0,J. Tatum makes 2-pt jump shot from 6 ft (assist by K. Irving),,17,15
49,1,5:33.0,,K. Knox misses 2-pt jump shot from 21 ft,17,15
50,1,5:31.0,Defensive rebound by A. Horford,,17,15
51,1,5:21.0,M. Morris misses 3-pt jump shot from 26 ft,,17,15
52,1,5:19.0,,Defensive rebound by D. Dotson,17,15
53,1,5:12.0,,D. Dotson misses 3-pt jump shot from 27 ft,17,15
54,1,5:11.0,Defensive rebound by M. Smart,,17,15
55,1,5:02.0,K. Irving misses 3-pt jump shot from 24 ft,,17,15
56,1,5:00.0,,Defensive rebound by M. Robinson,17,15
57,1,4:54.0,,Personal foul by M. Smart (drawn by K. Knox),17,15
58,1,4:54.0,A. Baynes enters the game for A. Horford,,17,15
59,1,4:54.0,G. Hayward enters the game for M. Smart,,17,15
60,1,4:54.0,,A. Trier enters the game for K. Allen,17,15
61,1,4:42.0,,K. Knox misses 3-pt jump shot from 26 ft,17,15
62,1,4:40.0,Defensive rebound by M. Morris,,17,15
63,1,4:25.0,M. Morris misses 2-pt jump shot from 11 ft,,17,15
64,1,4:23.0,,Defensive rebound by N. Vonleh,17,15
65,1,4:09.0,,K. Knox misses 3-pt jump shot from 22 ft,17,15
66,1,4:07.0,Defensive rebound by J. Tatum,,17,15
67,1,4:03.0,J. Tatum misses 2-pt layup from 1 ft,,17,15
68,1,4:01.0,,Defensive rebound by N. Vonleh,17,15
69,1,3:52.0,,D. Dotson makes 3-pt jump shot from 24 ft (assist by A. Trier),17,18
70,1,3:37.0,Personal foul by M. Robinson (drawn by A. Baynes),,17,18
71,1,3:37.0,J. Brown enters the game for M. Morris,,17,18
72,1,3:37.0,T. Rozier enters the game for J. Tatum,,17,18
73,1,3:37.0,,M. Hezonja enters the game for K. Knox,17,18
74,1,3:28.0,J. Brown misses 2-pt jump shot from 9 ft,,17,18
75,1,3:26.0,,Defensive rebound by A. Trier,17,18
76,1,3:15.0,,N. Vonleh misses 2-pt layup from 2 ft,17,18
77,1,3:13.0,Defensive rebound by K. Irving,,17,18
78,1,3:08.0,K. Irving misses 2-pt layup from 1 ft,,17,18
79,1,3:07.0,,Defensive rebound by M. Robinson,17,18
80,1,2:45.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by A. Trier),17,20
81,1,2:27.0,A. Baynes misses 2-pt hook shot from 5 ft,,17,20
82,1,2:25.0,,Defensive rebound by M. Hezonja,17,20
83,1,2:03.0,,N. Vonleh misses 3-pt jump shot from 24 ft,17,20
84,1,2:02.0,Defensive rebound by J. Brown,,17,20
85,1,2:02.0,Boston full timeout,,17,20
86,1,1:46.0,K. Irving makes 2-pt layup from 5 ft,,19,20
87,1,1:27.0,,D. Dotson misses 2-pt jump shot from 15 ft,19,20
88,1,1:25.0,Defensive rebound by K. Irving,,19,20
89,1,1:14.0,A. Baynes misses 2-pt hook shot from 7 ft,,19,20
90,1,1:12.0,Offensive rebound by G. Hayward,,19,20
