,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PORTLAND_ACTION,CHARLOTTE_SCORE,PORTLAND_SCORE
0,1,11:43.0,,D. Lillard makes 2-pt jump shot from 19 ft (assist by J. Nurkić),0,2
1,1,11:13.0,N. Batum misses 3-pt jump shot from 25 ft,,0,2
2,1,11:11.0,,Defensive rebound by J. Nurkić,0,2
3,1,11:07.0,,Shooting foul by N. Batum (drawn by D. Lillard),0,2
4,1,11:07.0,,D. Lillard makes free throw 1 of 2,0,3
5,1,11:07.0,,D. Lillard makes free throw 2 of 2,0,4
6,1,10:54.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,3,4
7,1,10:28.0,,A. Aminu misses 2-pt layup from 2 ft,3,4
8,1,10:26.0,Defensive rebound by M. Williams,,3,4
9,1,10:10.0,Turnover by K. Walker (lost ball; steal by A. Aminu),,3,4
10,1,10:07.0,,A. Aminu makes 2-pt dunk at rim,3,6
11,1,9:54.0,M. Williams misses 2-pt hook shot from 3 ft (block by D. Lillard),,3,6
12,1,9:52.0,,Defensive rebound by C. McCollum,3,6
13,1,9:49.0,,C. McCollum misses 2-pt jump shot from 14 ft,3,6
14,1,9:45.0,Defensive rebound by B. Biyombo,,3,6
15,1,9:41.0,Personal foul by C. McCollum (drawn by K. Walker),,3,6
16,1,9:34.0,J. Lamb misses 2-pt jump shot from 5 ft,,3,6
17,1,9:33.0,,Defensive rebound by J. Nurkić,3,6
18,1,9:28.0,,D. Lillard misses 3-pt jump shot from 28 ft,3,6
19,1,9:26.0,,Offensive rebound by J. Nurkić,3,6
20,1,9:25.0,,J. Nurkić misses 2-pt layup from 2 ft,3,6
21,1,9:25.0,Defensive rebound by M. Williams,,3,6
22,1,9:16.0,J. Lamb misses 2-pt jump shot from 4 ft,,3,6
23,1,9:14.0,,Defensive rebound by J. Nurkić,3,6
24,1,9:07.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by D. Lillard),3,8
